Pos,ID,Name,BV,SV,Team,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
M,238,Estêvão,6.4,6.4,Chelsea,31.35,31.35,62.70,0.00,31.35,31.35,31.35,31.35,1.60,1.55,3.27,0.00,1.77,1.45,1.86,1.67
M,239,Gittens,6.0,6.0,Chelsea,11.25,11.25,22.50,0.00,11.25,11.25,11.25,11.25,0.56,0.52,1.11,0.00,0.59,0.51,0.61,0.57
M,241,Caicedo,5.7,5.7,Chelsea,84.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,3.43,3.24,6.54,0.00,3.48,3.19,3.57,3.31
M,242,Dewsbury-Hall,5.1,5.1,Everton,82.35,82.35,82.35,82.35,82.35,82.35,82.35,82.35,3.75,3.70,3.55,3.76,3.43,3.62,4.09,3.80
M,243,George,4.8,4.8,Everton,0.00,23.85,23.85,23.85,23.85,23.85,23.85,23.85,0.00,1.00,0.98,1.01,0.95,0.99,1.11,1.01
M,244,Lavia,4.9,4.9,Chelsea,10.35,10.35,20.70,0.00,10.35,10.35,10.35,10.35,0.37,0.35,0.72,0.00,0.39,0.36,0.38,0.38
M,245,Mudryk,4.9,4.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,246,Andrey Santos,4.5,4.5,Chelsea,62.40,62.40,124.80,0.00,62.40,62.40,62.40,62.40,2.58,2.46,5.00,0.00,2.73,2.32,2.87,2.58
M,247,D.Essugo,4.3,4.3,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,249,João Pedro,7.8,7.8,Chelsea,79.35,79.35,158.70,0.00,79.35,79.35,79.35,79.35,4.04,4.04,8.43,0.00,4.56,3.78,4.89,4.20
F,250,Delap,6.2,6.2,Chelsea,22.35,22.35,44.70,0.00,22.35,22.35,22.35,22.35,1.13,1.14,2.32,0.00,1.23,1.10,1.35,1.20
F,252,Marc Guiu,4.1,4.1,Chelsea,1.50,1.50,3.00,0.00,1.50,1.50,1.50,1.50,0.08,0.09,0.17,0.00,0.09,0.08,0.09,0.08
G,253,Henderson,5.0,5.0,Crystal Palace,0.00,89.10,89.10,89.10,89.10,178.20,89.10,89.10,0.00,3.09,3.32,2.54,3.20,5.98,3.15,3.00
G,254,Benitez,4.0,4.0,Crystal Palace,0.00,0.90,0.90,0.90,0.90,1.80,0.90,0.90,0.00,0.03,0.03,0.02,0.03,0.06,0.03,0.03
G,255,Matthews,3.9,3.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,256,Muñoz,5.8,5.8,Crystal Palace,0.00,87.45,87.45,87.45,87.45,174.90,87.45,87.45,0.00,3.79,4.36,2.89,3.73,7.43,3.72,3.12
D,257,Lacroix,5.1,5.1,Crystal Palace,0.00,86.10,86.10,86.10,86.10,172.20,86.10,86.10,0.00,3.82,4.20,3.30,3.95,7.89,3.99,3.54
D,258,Mitchell,5.0,5.0,Crystal Palace,0.00,85.20,85.20,85.20,85.20,170.40,85.20,85.20,0.00,3.17,3.71,2.46,3.10,6.33,3.15,2.77
D,259,Sosa,4.8,4.8,Crystal Palace,0.00,5.40,5.40,5.40,5.40,10.80,5.40,5.40,0.00,0.21,0.23,0.20,0.22,0.41,0.22,0.19
D,260,Guéhi,5.1,5.1,Man City,0.00,82.65,165.30,0.00,82.65,165.30,82.65,82.65,0.00,3.21,8.20,0.00,4.34,8.86,3.93,4.09
D,261,Richards,4.4,4.4,Crystal Palace,0.00,84.60,84.60,84.60,84.60,169.20,84.60,84.60,0.00,3.59,3.97,3.13,3.71,7.42,3.81,3.37
D,262,Chadi Riad,4.0,4.0,Crystal Palace,0.00,14.10,14.10,14.10,14.10,60.60,14.10,14.10,0.00,0.54,0.58,0.49,0.56,2.06,0.56,0.51
D,263,Clyne,3.8,3.8,Crystal Palace,0.00,3.15,3.15,3.15,3.15,6.30,3.15,3.15,0.00,0.13,0.14,0.11,0.13,0.26,0.13,0.12
D,265,Kporha,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,266,Eze,7.2,7.2,Arsenal,0.00,41.40,82.80,0.00,41.40,41.40,41.40,41.40,0.00,2.56,4.46,0.00,2.52,2.39,2.86,2.27
M,267,Sarr,6.3,6.3,Crystal Palace,0.00,82.20,82.20,82.20,82.20,164.40,82.20,82.20,0.00,4.30,4.58,3.51,4.07,7.66,3.86,3.23
M,268,Doucouré,4.9,4.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,270,Hughes,4.7,4.7,Crystal Palace,0.00,33.75,33.75,33.75,33.75,67.50,33.75,33.75,0.00,1.17,1.19,1.06,1.14,2.23,1.10,1.04
M,271,Kamada,5.0,5.0,Crystal Palace,0.00,37.80,37.80,37.80,37.80,78.75,37.80,37.80,0.00,1.53,1.55,1.37,1.51,3.00,1.44,1.31
M,272,Lerma,4.9,4.9,Crystal Palace,0.00,56.70,56.70,56.70,56.70,125.40,56.70,56.70,0.00,2.21,2.17,2.02,2.20,4.72,2.09,1.93
M,273,Wharton,5.0,5.0,Crystal Palace,0.00,82.50,82.50,82.50,82.50,165.00,82.50,82.50,0.00,3.62,3.58,3.23,3.59,6.88,3.36,3.04
M,274,Agbinone,4.3,4.3,Crystal Palace,0.00,0.30,0.30,0.30,0.30,0.60,0.30,0.30,0.00,0.01,0.01,0.01,0.01,0.03,0.01,0.01
M,276,Devenny,4.3,4.3,Crystal Palace,0.00,9.15,9.15,9.15,9.15,18.30,9.15,9.15,0.00,0.41,0.42,0.36,0.38,0.75,0.41,0.37
M,281,Rodney,4.4,4.4,Crystal Palace,0.00,0.30,0.30,0.30,0.30,0.60,0.30,0.30,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.01
F,283,Mateta,7.5,7.5,Crystal Palace,0.00,36.45,36.45,36.45,36.45,72.90,36.45,36.45,0.00,2.09,2.16,1.70,1.96,3.67,1.87,1.55
F,284,Nketiah,5.4,5.4,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,286,Marsh,4.4,4.4,Crystal Palace,0.00,0.30,0.30,0.30,0.30,0.60,0.30,0.30,0.00,0.02,0.02,0.01,0.02,0.03,0.01,0.01
G,287,Pickford,5.6,5.6,Everton,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.00,3.22,3.01,3.28,3.09,3.66,4.13,3.35
G,288,Travers,4.3,4.3,Everton,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
D,290,Branthwaite,5.3,5.3,Everton,63.15,81.30,81.30,81.30,81.30,81.30,81.30,81.30,2.25,3.32,2.98,3.27,2.66,3.57,4.00,3.42
D,291,Tarkowski,5.7,5.7,Everton,63.15,87.45,87.45,87.45,87.45,87.45,87.45,87.45,2.67,4.22,3.86,4.22,3.40,4.54,5.02,4.39
D,292,Mykolenko,4.9,4.9,Everton,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,2.76,3.11,2.83,3.14,2.57,3.38,3.93,3.24
D,293,O'Brien,4.9,4.9,Everton,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,2.69,3.08,2.81,3.11,2.52,3.37,3.92,3.24
D,294,Coleman,4.2,4.2,Everton,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,0.09,0.09,0.08,0.09,0.09,0.08,0.10,0.09
D,295,Keane,4.6,4.6,Everton,46.35,12.75,12.75,12.75,12.75,12.75,12.75,12.75,2.05,0.62,0.59,0.61,0.53,0.66,0.69,0.63
D,296,Patterson,4.4,4.4,Everton,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,0.20,0.20,0.21,0.22,0.19,0.22,0.22,0.21
D,298,Welch,3.8,3.8,Everton,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
M,299,Ndiaye,6.2,6.2,Everton,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,4.31,4.27,4.16,4.31,4.07,4.18,4.67,4.51
M,300,McNeil,5.5,5.5,Everton,69.75,47.25,47.25,47.25,47.25,47.25,47.25,47.25,3.01,2.03,1.98,2.08,1.93,2.01,2.23,2.10
M,301,Alcaraz,5.2,5.2,Everton,0.00,12.45,12.45,12.45,12.45,12.45,12.45,12.45,0.00,0.54,0.52,0.56,0.52,0.56,0.60,0.55
M,302,Gana,5.4,5.4,Everton,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,2.71,2.75,2.71,2.80,2.71,2.77,2.93,2.93
M,303,Garner,5.2,5.2,Everton,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,3.95,4.47,4.22,4.20,3.75,4.49,4.36,4.39
M,304,Iroegbunam,4.8,4.8,Everton,22.80,15.60,15.60,15.60,15.60,15.60,15.60,15.60,0.79,0.53,0.55,0.55,0.53,0.53,0.56,0.56
M,305,Armstrong,4.5,4.5,Everton,47.25,34.05,34.05,34.05,34.05,34.05,34.05,34.05,1.79,1.34,1.30,1.36,1.27,1.33,1.46,1.38
M,306,Bates,4.3,4.3,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,307,Ebere,4.4,4.4,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,310,Barry,5.7,5.7,Everton,36.15,36.15,36.15,36.15,36.15,36.15,36.15,36.15,1.72,1.69,1.64,1.68,1.57,1.63,1.78,1.68
F,311,Beto,5.0,5.0,Everton,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,2.92,2.89,2.78,2.87,2.66,2.77,3.08,2.87
G,314,Leno,4.9,4.9,Fulham,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.85,2.32,2.91,3.22,2.55,3.20,3.42,3.06
D,316,Robinson,4.9,4.9,Fulham,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,1.18,0.79,0.93,0.97,0.76,1.00,1.05,0.94
D,317,Andersen,4.6,4.6,Fulham,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05,4.70,3.04,3.69,3.78,2.99,3.92,4.11,3.61
D,318,Bassey,4.4,4.4,Fulham,81.00,81.00,81.00,81.00,81.00,81.00,81.00,81.00,3.79,2.19,2.79,2.91,2.18,3.00,3.25,2.78
D,319,Castagne,4.3,4.3,Fulham,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,0.68,0.52,0.58,0.58,0.50,0.61,0.60,0.57
D,320,Diop,4.3,4.3,Fulham,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,0.34,0.25,0.28,0.28,0.25,0.29,0.30,0.28
D,321,J.Cuenca,4.3,4.3,Fulham,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0.61,0.45,0.51,0.51,0.44,0.53,0.55,0.51
D,322,Tete,4.5,4.5,Fulham,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,4.43,2.60,3.31,3.43,2.55,3.55,3.81,3.28
D,323,Amissah,3.8,3.8,Fulham,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06
M,324,Iwobi,6.4,6.4,Fulham,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.98,3.01,3.21,3.44,2.72,3.61,3.57,3.45
M,325,Smith Rowe,5.6,5.6,Fulham,64.80,64.80,64.80,64.80,64.80,64.80,64.80,64.80,3.65,2.67,2.92,3.07,2.35,3.26,3.18,3.08
M,326,Adama,5.1,5.1,West Ham,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,0.79,0.94,0.80,0.84,0.80,0.74,0.80,0.86
M,328,Sessegnon,5.4,5.4,Fulham,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,3.27,2.92,3.08,2.90,2.67,3.18,3.04,2.95
M,329,Wilson,6.0,6.0,Fulham,82.50,81.15,81.15,81.15,81.15,81.15,81.15,81.15,5.05,3.52,3.84,4.21,2.92,4.51,4.42,4.28
M,330,Berge,4.9,4.9,Fulham,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,2.98,2.48,2.56,2.75,2.34,2.80,2.79,2.75
M,331,Cairney,4.8,4.8,Fulham,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,0.33,0.27,0.28,0.30,0.24,0.31,0.29,0.29
M,332,Lukić,4.9,4.9,Fulham,27.60,21.00,21.00,21.00,21.00,21.00,21.00,21.00,1.18,0.76,0.80,0.82,0.72,0.85,0.85,0.84
M,335,King,4.4,4.4,Fulham,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,0.68,0.54,0.57,0.60,0.48,0.63,0.64,0.60
M,336,Reed,4.3,4.3,Fulham,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.06
F,337,Raúl,6.2,6.2,Fulham,71.70,71.70,71.70,71.70,71.70,71.70,71.70,71.70,4.67,3.31,3.59,3.84,2.73,4.17,4.03,3.92
F,338,Muniz,5.3,5.3,Fulham,23.85,23.85,23.85,23.85,23.85,23.85,23.85,23.85,1.46,1.14,1.18,1.26,0.97,1.34,1.28,1.26
G,339,Meslier,4.1,4.1,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,340,Cairns,3.9,3.9,Leeds United,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,341,Darlow,3.9,3.9,Leeds United,88.20,88.20,88.20,88.20,88.20,88.20,88.20,88.20,3.12,2.56,3.68,2.96,3.81,2.98,3.22,2.89
D,342,Bogle,4.4,4.4,Leeds United,84.60,83.10,83.10,83.10,83.10,83.10,83.10,83.10,3.32,2.36,3.99,2.84,4.21,3.07,3.23,3.02
D,343,Struijk,4.3,4.3,Leeds United,85.95,85.35,85.35,85.35,85.35,85.35,85.35,85.35,4.09,3.14,4.58,3.65,4.78,3.83,3.83,3.69
D,344,Bijol,3.9,3.9,Leeds United,85.20,22.50,22.50,22.50,22.50,22.50,22.50,22.50,4.03,0.88,1.16,0.98,1.20,1.03,1.00,0.98
D,345,Bornauw,3.8,3.8,Leeds United,10.20,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.40,0.10,0.11,0.10,0.11,0.11,0.10,0.11
D,346,Byram,3.7,3.7,Leeds United,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
D,347,Gudmundsson,3.8,3.8,Leeds United,0.00,83.85,83.85,83.85,83.85,83.85,83.85,83.85,0.00,2.62,4.35,3.13,4.60,3.39,3.55,3.31
D,348,Rodon,3.9,3.9,Leeds United,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,3.83,2.99,4.31,3.53,4.57,3.69,3.62,3.50
M,350,Aaronson,5.4,5.4,Leeds United,72.00,72.00,72.00,72.00,72.00,72.00,75.75,72.00,3.82,3.21,4.13,3.57,4.26,3.61,3.82,3.52
M,351,Gnonto,5.1,5.1,Leeds United,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,0.49,0.43,0.50,0.47,0.51,0.45,0.44,0.44
M,353,James,5.2,5.2,Leeds United,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,0.36,0.30,0.40,0.32,0.38,0.32,0.35,0.34
M,354,Ampadu,4.9,4.9,Leeds United,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,3.45,3.34,3.61,3.51,3.75,3.58,3.34,3.31
M,356,Gruev,4.7,4.7,Leeds United,65.10,65.10,65.10,65.10,65.10,65.10,65.10,65.10,2.15,1.97,2.26,2.10,2.32,2.14,2.08,2.05
M,358,Tanaka,4.8,4.8,Leeds United,15.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,0.71,0.64,0.71,0.69,0.75,0.67,0.65,0.66
F,362,Piroe,4.9,4.9,Leeds United,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.08
F,365,Nmecha,5.0,5.0,Leeds United,18.15,18.15,18.15,18.15,18.15,18.15,18.15,18.15,1.11,0.96,1.21,1.03,1.33,1.06,1.09,1.07
G,366,A.Becker,5.4,5.4,Liverpool,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.35,3.50,3.69,3.89,2.93,3.09,3.34,3.52
G,367,Mamardashvili,4.1,4.1,Liverpool,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04
G,368,Pécsi,3.8,3.8,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,369,Woodman,3.9,3.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,370,Frimpong,5.7,5.7,Liverpool,79.50,64.95,64.95,64.95,64.95,64.95,64.95,64.95,3.57,3.54,3.33,3.70,2.52,3.04,2.98,3.42
D,371,Kerkez,5.6,5.6,Liverpool,70.05,70.05,70.05,70.05,70.05,70.05,70.05,70.05,3.06,3.61,3.48,3.79,2.64,3.07,3.06,3.54
D,372,Robertson,5.7,5.7,Liverpool,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,0.98,1.11,1.05,1.15,0.88,0.99,0.96,1.09
D,373,Virgil,6.3,6.3,Liverpool,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.89,4.25,4.59,4.74,3.57,3.67,3.90,4.42
D,374,Konaté,5.5,5.5,Liverpool,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,3.68,4.01,4.31,4.46,3.33,3.43,3.68,4.17
D,375,Bradley,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,376,Gomez,4.9,4.9,Liverpool,26.10,22.20,22.20,22.20,22.20,22.20,22.20,22.20,1.10,1.05,1.05,1.10,0.86,0.91,0.95,1.04
D,378,Nallo,3.7,3.7,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,379,R.Williams,3.7,3.7,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,380,Ramsay,3.8,3.8,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,381,M.Salah,14.0,14.0,Liverpool,0.00,44.90,79.80,79.80,79.80,79.80,79.80,79.80,0.00,3.28,4.70,5.57,4.51,5.12,4.74,5.54
M,382,Wirtz,8.3,8.3,Liverpool,81.90,74.40,74.40,74.40,74.40,74.40,74.40,74.40,4.36,4.82,3.97,4.59,3.80,4.22,4.01,4.57
M,384,Gakpo,7.3,7.3,Liverpool,81.90,67.20,67.20,67.20,67.20,67.20,67.20,67.20,4.29,4.28,3.43,4.05,3.34,3.77,3.47,3.99
M,385,Chiesa,6.3,6.3,Liverpool,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,0.38,0.43,0.36,0.43,0.38,0.39,0.38,0.39
M,386,Mac Allister,6.3,6.3,Liverpool,81.30,63.75,63.75,63.75,63.75,63.75,63.75,63.75,3.38,3.05,2.74,2.97,2.62,2.78,2.72,2.92
M,387,Szoboszlai,7.0,7.0,Liverpool,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,4.69,4.77,4.35,4.64,4.12,4.13,4.19,4.68
M,388,C.Jones,5.4,5.4,Liverpool,38.55,19.95,19.95,19.95,19.95,19.95,19.95,19.95,1.67,0.98,0.90,0.96,0.85,0.91,0.89,0.94
M,389,Elliott,5.1,5.1,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,390,Gravenberch,5.5,5.5,Liverpool,85.50,85.50,85.50,85.50,85.50,85.50,85.50,85.50,3.06,3.30,3.24,3.27,3.08,3.07,3.19,3.26
M,391,Gannon-Doak,4.8,4.8,Bournemouth,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,0.54,0.46,0.52,0.54,0.58,0.53,0.55,0.52
M,392,Endo,4.9,4.9,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,393,Bajcetic,4.2,4.2,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01
M,396,Nyoni,4.3,4.3,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,398,Danns,4.3,4.3,Liverpool,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
G,400,Ortega Moreno,4.7,4.7,Nott'm Forest,0.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,0.00,1.27,1.50,1.40,1.02,1.22,1.05,1.28
G,401,Bettinelli,3.8,3.8,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,402,Aït-Nouri,5.7,5.7,Man City,0.00,77.85,155.70,0.00,77.85,155.70,77.85,77.85,0.00,3.25,8.20,0.00,4.24,8.95,3.89,4.24
D,403,Gvardiol,5.9,5.9,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,405,Aké,5.2,5.2,Man City,0.00,16.20,32.40,0.00,16.20,32.40,16.20,16.20,0.00,0.63,1.44,0.00,0.76,1.55,0.71,0.74
D,406,Khusanov,5.4,5.4,Man City,0.00,20.55,41.10,0.00,20.55,41.10,20.55,20.55,0.00,0.76,1.80,0.00,0.95,1.89,0.87,0.91
D,407,Matheus N.,5.4,5.4,Man City,0.00,84.75,169.50,0.00,84.75,169.50,84.75,84.75,0.00,3.02,7.82,0.00,4.09,8.45,3.63,4.02
D,408,Rúben,5.5,5.5,Man City,0.00,82.05,164.10,0.00,82.05,164.10,82.05,82.05,0.00,2.72,7.06,0.00,3.78,7.59,3.30,3.55
D,409,Stones,5.4,5.4,Man City,0.00,3.00,6.00,0.00,3.00,6.00,3.00,3.00,0.00,0.11,0.24,0.00,0.12,0.23,0.12,0.12
D,410,Lewis,4.6,4.6,Man City,0.00,5.40,10.80,0.00,5.40,10.80,5.40,5.40,0.00,0.22,0.46,0.00,0.23,0.47,0.25,0.23
D,411,O'Reilly,5.1,5.1,Man City,0.00,77.25,154.50,0.00,77.25,154.50,77.25,77.25,0.00,3.18,7.94,0.00,4.07,8.69,3.78,4.21
M,413,Marmoush,8.3,8.3,Man City,0.00,40.80,81.60,0.00,40.80,81.60,40.80,40.80,0.00,2.33,4.91,0.00,2.40,5.51,2.58,2.65
M,414,Foden,8.0,8.0,Man City,0.00,18.00,36.00,0.00,18.00,36.00,18.00,18.00,0.00,1.03,2.15,0.00,1.04,2.42,1.13,1.16
M,415,Savinho,6.9,6.9,Man City,0.00,7.50,15.00,0.00,7.50,15.00,7.50,7.50,0.00,0.40,0.80,0.00,0.40,0.88,0.41,0.42
M,416,Bernardo,6.2,6.2,Man City,0.00,79.95,159.90,0.00,79.95,159.90,79.95,79.95,0.00,2.93,6.26,0.00,3.10,6.78,3.24,3.38
M,417,Cherki,6.3,6.3,Man City,0.00,40.20,80.40,0.00,40.20,80.40,40.20,40.20,0.00,2.27,4.82,0.00,2.35,5.31,2.54,2.59
M,418,Doku,6.4,6.4,Man City,0.00,25.80,51.60,0.00,25.80,51.60,25.80,25.80,0.00,1.28,2.65,0.00,1.32,2.92,1.36,1.40
M,419,Grealish,6.3,6.3,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,421,Rodrigo,6.3,6.3,Man City,0.00,80.25,160.50,0.00,80.25,160.50,80.25,80.25,0.00,3.62,7.55,0.00,3.92,7.91,3.95,4.01
M,422,Kovačić,5.8,5.8,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,423,N.Gonzalez,5.9,5.9,Man City,0.00,16.50,33.00,0.00,16.50,33.00,16.50,16.50,0.00,0.61,1.26,0.00,0.64,1.31,0.66,0.66
M,424,Bobb,5.1,5.1,Fulham,42.90,33.60,33.60,33.60,33.60,33.60,33.60,33.60,2.25,1.32,1.44,1.50,1.18,1.58,1.58,1.52
M,426,McAtee,5.0,5.0,Nott'm Forest,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,0.31,0.34,0.36,0.30,0.29,0.33,0.29,0.33
M,427,Reijnders,5.0,5.0,Man City,0.00,22.20,44.40,0.00,22.20,44.40,22.20,22.20,0.00,1.09,2.28,0.00,1.10,2.50,1.17,1.22
M,428,Nypan,5.0,5.0,Man City,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,430,Haaland,14.5,14.5,Man City,0.00,82.50,165.00,0.00,82.50,165.00,82.50,82.50,0.00,5.25,10.91,0.00,5.18,12.48,5.88,6.03
G,431,Bayindir,4.7,4.7,Man Utd,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03
G,434,Heaton,3.8,3.8,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,435,Mee,3.9,3.9,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,436,De Ligt,4.9,4.9,Man Utd,0.00,27.45,27.45,27.45,27.45,27.45,27.45,27.45,0.00,1.40,1.06,1.31,1.16,1.34,1.34,1.20
D,437,Martinez,4.8,4.8,Man Utd,0.00,83.70,83.70,83.70,83.70,83.70,83.70,83.70,0.00,3.94,2.63,3.71,3.04,3.86,3.81,3.20
D,438,Mazraoui,4.9,4.9,Man Utd,51.00,18.15,18.15,18.15,18.15,18.15,18.15,18.15,2.25,0.78,0.67,0.77,0.72,0.77,0.78,0.72
D,439,D.Leon,4.2,4.2,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,440,Dalot,4.6,4.6,Man Utd,79.80,83.25,83.25,83.25,83.25,83.25,83.25,83.25,3.23,4.06,2.74,3.82,3.10,3.96,3.94,3.26
