Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
M,802,Lamadrid,5.0,5.0,West Ham,1.50,1.50,1.50,0.06,0.07,0.07
G,803,Sharman-Lowe,4.0,4.0,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
D,804,Souza,4.0,4.0,Spurs,1.50,1.50,1.50,0.05,0.05,0.05
F,805,Lucca,5.4,5.4,Nott'm Forest,18.00,18.00,18.00,0.95,0.84,0.93
G,806,Mandas,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.03,0.03,0.03
M,807,Rayan,5.4,5.4,Bournemouth,71.40,71.40,71.40,3.77,3.28,3.59
F,808,Abraham,5.8,5.8,Aston Villa,23.70,23.70,23.70,1.46,1.25,1.05
M,809,Abbey,4.5,4.5,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
M,810,Bentt,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
M,811,Kyerematen,4.5,4.5,Spurs,0.30,0.30,0.30,0.01,0.01,0.01
G,812,Ellborg,4.0,4.0,Sunderland,0.90,0.90,0.90,0.03,0.03,0.03
M,813,Angulo,5.0,5.0,Sunderland,13.35,13.35,13.35,0.57,0.56,0.56
D,814,Netz,4.5,4.5,Nott'm Forest,16.05,9.45,9.45,0.62,0.31,0.33
D,815,Disasi,4.5,4.5,West Ham,84.75,84.75,84.75,2.35,2.51,3.30
M,816,Angel,4.6,4.6,Wolves,53.85,53.85,53.85,1.95,2.32,2.35
F,817,Armstrong,5.2,5.2,Wolves,78.45,78.45,78.45,3.04,3.71,3.70
F,818,Wilson,4.5,4.5,Spurs,0.90,0.90,0.90,0.04,0.03,0.03
D,819,Shield,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
M,820,McMahon-Brown,4.5,4.5,Burnley,0.00,0.00,0.00,0.00,0.00,0.00
M,821,Whittaker,4.5,4.5,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
M,822,Jones,4.5,4.5,Sunderland,0.00,0.00,0.00,0.00,0.00,0.00
D,823,Stephenson,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
D,824,McManus,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
G,825,Herrick,4.0,4.0,West Ham,0.00,0.00,0.00,0.00,0.00,0.00
M,826,Owen,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00
M,827,Thwaites,4.5,4.5,Man Utd,0.00,0.00,0.00,0.00,0.00,0.00
G,828,Brooks,4.0,4.0,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
M,829,Derry,4.5,4.5,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00
F,830,Wright,4.5,4.5,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
G,831,Gracey,4.0,4.0,Wolves,0.00,0.00,0.00,0.00,0.00,0.00
D,832,Ndiaye,4.0,4.0,Liverpool,0.00,0.00,0.00,0.00,0.00,0.00
